,title,link,price,location,km_driven,description and feautures,dealer info
54,"Used 2017 Ford Fusion Energi SE Luxury Energi - Navigation, Leather, Heated+Power Seats, Reverse Camera, CarPlay & More! for sale in Guelph, ON",https://www.carpages.ca//used-cars/ontario/guelph/2017-ford-fusion-9331465/,"$249,998","Guelph, ON","81,000KM","2017 Ford Fusion 
Energi SE Luxury Energi - Navigation, Leather, Heated+Power Seats, Reverse Camera, CarPlay & More!",Mark Wilson's Better
55,"New 2023 Jeep Wrangler 4xe Unlimited Sahara for sale in Bolton, ON",https://www.carpages.ca//new-cars/ontario/bolton/2023-jeep-wrangler-9331363/,"$75,045","Bolton, ON",20KM,"2023 Jeep Wrangler 
4xe Unlimited Sahara",CarHub Caledon Chrys
56,New 2022 RAM 1500 SPORT 4X4 CREW CAB 5'7,https://www.carpages.ca//new-cars/nova-scotia/barrington/2022-ram-1500-9331240/,"$75,445","Barrington, NS",CALL,"2022 RAM 1500 
SPORT 4X4 CREW CAB 5'7"" BOX",Smith & Watt Chrysle
57,"New 2023 Ford F-150 XLT for sale in Brandon, MB",https://www.carpages.ca//new-cars/manitoba/brandon/2023-ford-f-150-9330997/,"$74,855","Brandon, MB",16KM,"2023 Ford F-150 
XLT","Kelleher Ford
Brando"
58,"New 2022 Ford F-150 Lariat for sale in Brandon, MB",https://www.carpages.ca//new-cars/manitoba/brandon/2022-ford-f-150-9330994/,"$85,089","Brandon, MB",16KM,"2022 Ford F-150 
Lariat","Kelleher Ford
Brando"
59,"Used 2018 Lexus ES 300h  - Sunroof -  Wood Trim -  Cooled Seats for sale in Surrey, BC",https://www.carpages.ca//used-cars/british-columbia/surrey/2018-lexus-es-9330643/,"$40,997","Surrey, BC","87,500KM","2018 Lexus ES 
300h  - Sunroof -  Wood Trim -  Cooled Seats","White Rock Dodge
Sur"
60,"New 2023 Ford F-150 Lightning Lariat High Package for sale in Selkirk, MB",https://www.carpages.ca//new-cars/manitoba/selkirk/2023-ford-f-150-9330604/,"$112,669","Selkirk, MB",20KM,"2023 Ford F-150 
Lightning Lariat High Package","Steeltown Ford
Selki"
61,"New 2023 Ford F-150 Lightning Lariat  - $639 B/W for sale in Fort St John, BC",https://www.carpages.ca//new-cars/british-columbia/fort-st-john/2023-ford-f-150-9330550/,"$94,140","Fort St John, BC",CALL,"2023 Ford F-150 
Lightning Lariat  - $639 B/W","Fort Motors
Fort St "
62,"New 2022 Ford Explorer Limited Hybrid  - Leather Seats - $436 B/W for sale in Fort St John, BC",https://www.carpages.ca//new-cars/british-columbia/fort-st-john/2022-ford-explorer-9330538/,"$66,174","Fort St John, BC",CALL,"2022 Ford Explorer 
Limited Hybrid  - Leather Seats - $436 B/W","Fort Motors
Fort St "
63,"Used 2021 Jeep Wrangler Unlimited Rubicon 4xe  Navi/ Leather/ Hard Top for sale in Surrey, BC",https://www.carpages.ca//used-cars/british-columbia/surrey/2021-jeep-wrangler-9330499/,"$76,885","Surrey, BC","15,102KM","2021 Jeep Wrangler 
Unlimited Rubicon 4xe  Navi/ Leather/ Hard Top","Langley Chrysler
Sur"
64,"New 2023 Jeep Wrangler Sahara  - Heated Seats for sale in Surrey, BC",https://www.carpages.ca//new-cars/british-columbia/surrey/2023-jeep-wrangler-9330478/,"$70,300","Surrey, BC",CALL,"2023 Jeep Wrangler 
Sahara  - Heated Seats","Langley Chrysler
Sur"
65,"New 2022 Toyota RAV4 XLE Premium for sale in High River, AB",https://www.carpages.ca//new-cars/alberta/high-river/2022-toyota-rav4-9330430/,"$39,680","High River, AB",11KM,"2022 Toyota RAV4 
XLE Premium","High River Toyota
Hi"
66,"New 2022 Toyota RAV4 XLE  - Sunroof -  Power Liftgate for sale in High River, AB",https://www.carpages.ca//new-cars/alberta/high-river/2022-toyota-rav4-9330427/,"$36,680","High River, AB",8KM,"2022 Toyota RAV4 
XLE  - Sunroof -  Power Liftgate","High River Toyota
Hi"
67,"New 2023 Hyundai Tucson Hybrid Ultimate  - $362 B/W for sale in Kanata, ON",https://www.carpages.ca//new-cars/ontario/kanata/2023-hyundai-tucson-hybrid-9330235/,"$46,340","Kanata, ON",CALL,"2023 Hyundai Tucson Hybrid 
Ultimate  - $362 B/W",Myers Automotive Gro
68,"Used 2017 Tesla Model X 100D for sale in Vancouver, BC",https://www.carpages.ca//used-cars/british-columbia/vancouver/2017-tesla-model-x-9329737/,"$83,980","Vancouver, BC","88,500KM","2017 Tesla Model X 
100D","Blue Star Motors
Van"
69,"Used 2019 Tesla Model 3 Stand Range Plus FSD! Autopilot NO ACCIDENTS! loca for sale in Winnipeg, MB",https://www.carpages.ca//used-cars/manitoba/winnipeg/2019-tesla-model-3-9329401/,"$47,991","Winnipeg, MB","74,721KM","2019 Tesla Model 3 
Stand Range Plus FSD! Autopilot NO ACCIDENTS! loca",The Car Store on Mai
70,"Used 2022 Toyota RAV4  for sale in Surrey, BC",https://www.carpages.ca//used-cars/british-columbia/surrey/2022-toyota-rav4-9329326/,"$51,872","Surrey, BC","7,650KM",2022 Toyota RAV4,"Go Dodge Surrey
Surr"
71,"Used 2021 Toyota Corolla Hybrid HYBRID PREMIUM-LEATHER+PWR SEAT+MORE! for sale in Cobourg, ON",https://www.carpages.ca//used-cars/ontario/cobourg/2021-toyota-corolla-9328999/,"$35,813","Cobourg, ON","15,989KM","2021 Toyota Corolla 
Hybrid HYBRID PREMIUM-LEATHER+PWR SEAT+MORE!","Vandermeer Toyota
Co"
72,"Used 2021 Toyota Venza XLE AWD for sale in Toronto, ON",https://www.carpages.ca//used-cars/ontario/toronto/2021-toyota-venza-9328372/,"$52,988","Toronto, ON","36,000KM","2021 Toyota Venza 
XLE AWD",Shaw Automotive Grou
73,"Used 2019 Toyota RAV4 Hybrid XLE for sale in Cambridge, ON",https://www.carpages.ca//used-cars/ontario/cambridge/2019-toyota-rav4-9328072/,"$38,989","Cambridge, ON","116,673KM","2019 Toyota RAV4 
Hybrid XLE","Cambridge Toyota
Cam"
74,"Used 2021 Ford Escape Titanium Hybrid for sale in Hamilton, ON",https://www.carpages.ca//used-cars/ontario/hamilton/2021-ford-escape-9328048/,"$40,907","Hamilton, ON","57,249KM","2021 Ford Escape 
Titanium Hybrid",Airport Ford Lincoln
75,"Used 2019 Chevrolet Bolt EV LT CARFAX CLEAN! for sale in Oakville, ON",https://www.carpages.ca//used-cars/ontario/oakville/2019-chevrolet-bolt-9327703/,"$36,950","Oakville, ON","105,998KM","2019 Chevrolet Bolt 
EV LT CARFAX CLEAN!","Shift Motors
Oakvill"
76,"Used 2018 Tesla Model 3 LONG RANGE FULL SELF DRIVE, WRAPPED! for sale in Oakville, ON",https://www.carpages.ca//used-cars/ontario/oakville/2018-tesla-model-3-9327598/,"$49,700","Oakville, ON","133,152KM","2018 Tesla Model 3 
LONG RANGE FULL SELF DRIVE, WRAPPED!","Shift Motors
Oakvill"
77,"Used 2017 Lincoln MKZ Hybrid Select for sale in Saskatoon, SK",https://www.carpages.ca//used-cars/saskatchewan/saskatoon/2017-lincoln-mkz-9327373/,"$30,000","Saskatoon, SK","68,453KM","2017 Lincoln MKZ 
Hybrid Select",Auto Clearing Chrysl
78,"Used 2022 Hyundai Elantra Hybrid ULTIMATE for sale in Mississauga, ON",https://www.carpages.ca//used-cars/ontario/mississauga/2022-hyundai-elantra-9327190/,"$40,995","Mississauga, ON","3,655KM","2022 Hyundai Elantra 
Hybrid ULTIMATE","401 Dixie Hyundai
Mi"
